Bond Name,ISIN,Coupon,Issue Date,Months until Maturity,Last Coupon Date,Months since Last Coupon,Years to Maturity,Maturity Date,1/18/2021,1/19/2021,1/20/2021,1/21/2021,1/22/2021,1/25/2021,1/26/2021,1/27/2021,1/28/2021,1/29/2021
CAN 0.75 Mar 1,CA135087F254,0.0075,2015-10-19,1,2020-09-01,5,  1/12,2021-03-01,100.08,100.08,100.08,100.07,100.07,100.06,100.06,100.06,100.06,100.06
CAN 0.75 Sep 1,CA135087F585,0.0075,2016-04-11,7,2020-09-01,5,  7/12,2021-09-01,100.4,100.4,100.39,100.38,100.38,100.37,100.37,100.38,100.37,100.37
CAN 1.5 Feb 1,CA135087K601,0.015,2019-11-04,12,2020-08-01,6,1,2022-02-01,101.44,101.44,101.41,101.4,101.4,101.38,101.38,101.39,101.38,101.38
CAN 1.5 May 1,CA135087K866,0.015,2020-01-27,15,2020-11-30,3,1  1/4 ,2022-05-01,101.78,101.77,101.74,101.73,101.73,101.7,101.7,101.72,101.71,101.71
CAN 0.5 Mar 1,CA135087G328,0.005,2016-10-11,13,2020-09-01,5,1  1/12,2022-03-01,100.44,100.43,100.41,100.4,100.41,100.39,100.39,100.41,100.41,100.41
CAN 2.75 Jun 1,CA135087ZU15,0.0275,2011-08-02,16,2020-12-01,2,1  1/3 ,2022-06-01,103.61,103.6,103.57,103.54,103.54,103.51,103.51,103.52,103.5,103.5
CAN 1.75 Mar 1,CA135087H490,0.0175,2017-10-06,25,2020-09-01,5,2  1/12,2023-03-01,103.29,103.29,103.25,103.24,103.25,103.22,103.22,103.25,103.26,103.24
CAN 1.5 Jun 1,CA135087A610,0.015,2012-07-30,28,2020-12-01,2,2  1/3 ,2023-06-01,103.13,103.14,103.1,103.09,103.09,103.04,103.06,103.1,103.08,103.06
CAN 2.25 Mar 1,CA135087J546,0.0225,2018-10-05,37,2020-09-01,5,3  1/12,2024-03-01,106.21,106.21,106.17,106.15,106.17,106.12,106.18,106.22,106.19,106.18
CAN 1.5 Sep 1,CA135087J967,0.015,2019-04-05,43,2020-09-01,4,3  7/12,2024-09-01,104.27,104.28,104.25,104.19,104.24,104.29,104.26,104.32,104.24,104.24
