Bond Name,ISIN,Coupon,Issue Date,Months until Maturity,Last Coupon Date,Months since Last Coupon,Years to Maturity,Maturity Date,1/18/2021,1/19/2021,1/20/2021,1/21/2021,1/22/2021,1/25/2021,1/26/2021,1/27/2021,1/28/2021,1/29/2021
CAN 0.75 Mar 1,CA135087F254,0.0075,2015-10-19,1,2020-09-01,5,  1/12,2021-03-01,100.37,100.37,100.37,100.36,100.36,100.36,100.36,100.36,100.37,100.37
CAN 0.75 Sep 1,CA135087F585,0.0075,2016-04-11,7,2020-09-01,5,  7/12,2021-09-01,100.69,100.69,100.68,100.67,100.67,100.67,100.67,100.68,100.68,100.68
CAN 1.5 Feb 1,CA135087K601,0.015,2019-11-04,12,2020-08-01,6,1,2022-02-01,102.14,102.14,102.12,102.11,102.12,102.11,102.11,102.13,102.12,102.12
CAN 1.5 May 1,CA135087K866,0.015,2020-01-27,15,2020-11-30,3,1  1/4 ,2022-05-01,101.98,101.98,101.95,101.94,101.95,101.93,101.93,101.96,101.95,101.96
CAN 0.5 Mar 1,CA135087G328,0.005,2016-10-11,13,2020-09-01,5,1  1/12,2022-03-01,100.63,100.62,100.6,100.59,100.61,100.59,100.59,100.61,100.61,100.62
CAN 2.75 Jun 1,CA135087ZU15,0.0275,2011-08-02,16,2020-12-01,2,1  1/3 ,2022-06-01,103.97,103.97,103.95,103.92,103.93,103.92,103.93,103.95,103.94,103.94
CAN 1.75 Mar 1,CA135087H490,0.0175,2017-10-06,25,2020-09-01,5,2  1/12,2023-03-01,103.96,103.96,103.93,103.92,103.94,103.92,103.92,103.96,103.97,103.96
CAN 1.5 Jun 1,CA135087A610,0.015,2012-07-30,28,2020-12-01,2,2  1/3 ,2023-06-01,103.33,103.34,103.31,103.3,103.3,103.27,103.29,103.33,103.32,103.3
CAN 2.25 Mar 1,CA135087J546,0.0225,2018-10-05,37,2020-09-01,5,3  1/12,2024-03-01,107.07,107.07,107.04,107.03,107.05,107.02,107.09,107.13,107.11,107.1
CAN 1.5 Sep 1,CA135087J967,0.015,2019-04-05,43,2020-09-01,4,3  7/12,2024-09-01,104.84,104.86,104.83,104.77,104.83,104.89,104.86,104.93,104.85,104.86
